UniProtAccession,UniProtID,EntryType,GeneSymbol,GeneSynonyms,ProteinName,Function,DiseaseAssociations,SubcellularLocation,TissueSpecificity,PathwayAnnotation,Keywords,Domains,BindingSites,ActiveSites,AlphaFoldID,PDB_IDs,DrugBankIDs,ChEMBL_IDs,KEGG_IDs,ReactomePathways,SequenceLength,MolecularWeight,Organism
P27487,DPP4_HUMAN,reviewed,DPP4,ADCP2|CD26,Dipeptidyl peptidase 4,(Microbial infection) Acts as a receptor for human coronavirus MERS-CoV-2,,"Cell membrane; Apical cell membrane; Cell projection, invadopodium membrane; Cell projection, lamellipodium membrane; Cell junction; Membrane raft","Expressed specifically in lymphatic vessels but not in blood vessels in the skin, small intestine, esophagus, ovary, breast and prostate glands. Not detected in lymphatic vessels in the lung, kidney, uterus, liver and stomach (at protein level). Expressed in the poorly differentiated crypt cells of the small intestine as well as in the mature villous cells. Expressed at very low levels in the colon",,3D-structure|Aminopeptidase|Cell adhesion|Cell junction|Cell membrane|Cell projection|Direct protein sequencing|Disulfide bond|Glycoprotein|Host-virus interaction|Hydrolase|Membrane|Protease|Proteomics identification|Receptor|Reference proteome|Secreted|Serine protease|Signal-anchor|Transmembrane|Transmembrane helix,,,Charge relay system [630-630]|Charge relay system [708-708]|Charge relay system [740-740],P27487,1J2E|1N1M|1NU6|1NU8|1PFQ|1R9M|1R9N|1RWQ|1TK3|1TKR|1U8E|1W1I|1WCY|1X70|2AJL|2BGN|2BGR|2BUB|2FJP|2G5P|2G5T|2G63|2HHA|2I03|2I78|2IIT|2IIV|2JID|2OAG|2OGZ,DB07356|DB06880|DB07072|DB07465|DB08051|DB07081|DB07482|DB07193|DB08024|DB03253|DB07092|DB07135|DB06994|DB07067|DB06993,CHEMBL284,hsa:1803,"R-HSA-381771:Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)|R-HSA-400511:Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",766,88279,Homo sapiens
Q14195,DPYL3_HUMAN,reviewed,DPYSL3,CRMP4|DRP3|ULIP|ULIP1,Dihydropyrimidinase-related protein 3,"Necessary for signaling by class 3 semaphorins and subsequent remodeling of the cytoskeleton. Plays a role in axon guidance, neuronal growth cone collapse and cell migration (By similarity)",,"Cytoplasm; Cell projection, growth cone",Mainly expressed in heart and skeletal muscle. Also strongly expressed in fetal brain and spinal cord,,3D-structure|Alternative splicing|Cell projection|Cytoplasm|Direct protein sequencing|Phosphoprotein|Proteomics identification|Reference proteome,,,,Q14195,4BKN|4CNS|4CNT|4CNU,,,hsa:1809,R-HSA-399956:CRMPs in Sema3A signaling,570,61963,Homo sapiens
Q02487,DSC2_HUMAN,reviewed,DSC2,CDHF2|DSC3,Desmocollin-2,"A component of desmosome cell-cell junctions which are required for positive regulation of cellular adhesion (PubMed:33596089). Promotes timely incorporation of DSG2 into desmosome intercellular junctions and promotes interaction of desmosome cell junctions with intermediate filament cytokeratin, via modulation of DSP phosphorylation (PubMed:33596089). Plays an important role in desmosome-mediated maintenance of intestinal epithelial cell intercellular adhesion strength and barrier function (PubMed:33596089). Positively regulates wound healing of intestinal mucosa via promotion of epithelial cell migration, and also plays a role in mechanotransduction of force between intestinal epithelial cells and extracellular matrix (PubMed:31967937). May contribute to epidermal cell positioning (stratification) by mediating differential adhesiveness between cells that express different isoforms. May promote p38MAPK signaling activation that facilitates keratinocyte migration (By similarity)","Arrhythmogenic right ventricular dysplasia, familial, 11 (ARVD11)","Cell membrane; Cell junction, desmosome","Expressed at intercalated disks in the heart, where it is colocalized with CDH2 (at protein level) (PubMed:23863954, PubMed:33784018). Expressed in intestinal mucosal cells (at protein level) (PubMed:31967937)",,3D-structure|Alternative splicing|Calcium|Cardiomyopathy|Cell adhesion|Cell junction|Cell membrane|Cleavage on pair of basic residues|Disease variant|Glycoprotein|Membrane|Metal-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Signal|Transmembrane|Transmembrane helix,Cadherin 1 [136-243]|Cadherin 2 [244-355]|Cadherin 3 [356-471]|Cadherin 4 [472-579]|Cadherin 5 [580-694],,,Q02487,5ERP|5J5J|7A7D,,,hsa:1824,R-HSA-6805567:Keratinization|R-HSA-6809371:Formation of the cornified envelope,901,99962,Homo sapiens
Q02413,DSG1_HUMAN,reviewed,DSG1,CDHF4,Desmoglein-1,Component of intercellular desmosome junctions (PubMed:34368962). Involved in the interaction of plaque proteins and intermediate filaments mediating cell-cell adhesion (PubMed:19717567),"Palmoplantar keratoderma 1, striate, focal, or diffuse (PPKS1)|Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper IgE (EPKHE)","Cell membrane; Cell junction, desmosome; Cytoplasm; Nucleus","Expressed in all suprabasal layers of the epidermis, with the highest expression seen in the granular layer (at protein level)",,Alternative splicing|Calcium|Cell adhesion|Cell junction|Cell membrane|Cleavage on pair of basic residues|Cytoplasm|Glycoprotein|Hypotrichosis|Membrane|Metal-binding|Nucleus|Palmoplantar keratoderma|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Signal|Transmembrane|Transmembrane helix,Cadherin 1 [50-158]|Cadherin 2 [159-270]|Cadherin 3 [271-385]|Cadherin 4 [386-497],,,Q02413,,,,hsa:1828,R-HSA-351906:Apoptotic cleavage of cell adhesion proteins|R-HSA-6798695:Neutrophil degranulation|R-HSA-6805567:Keratinization|R-HSA-6809371:Formation of the cornified envelope|R-HSA-9696264:RND3 GTPase cycle|R-HSA-9696270:RND2 GTPase cycle,1049,113748,Homo sapiens
Q14126,DSG2_HUMAN,reviewed,DSG2,CDHF5,Desmoglein-2,"A component of desmosome cell-cell junctions which are required for positive regulation of cellular adhesion (PubMed:17559062, PubMed:38395410). Involved in the interaction of plaque proteins and intermediate filaments mediating cell-cell adhesion. Required for proliferation and viability of embryonic stem cells in the blastocyst, thereby crucial for progression of post-implantation embryonic development (By similarity). Maintains pluripotency by regulating epithelial to mesenchymal transition/mesenchymal to epithelial transition (EMT/MET) via interacting with and sequestering CTNNB1 to sites of cell-cell contact, thereby reducing translocation of CTNNB1 to the nucleus and subsequent transcription of CTNNB1/TCF-target genes (PubMed:29910125). Promotes pluripotency and the multi-lineage differentiation potential of hematopoietic stem cells (PubMed:27338829). Plays a role in endothelial cell sprouting and elongation via mediating the junctional-association of cortical actin fibers and CDH5 (PubMed:27338829). Promotes cardiomyocyte cell homeostasis and desmosome junction formation at intercalated disks, as a result plays a role in the maintenance of cardiac conduction and heart chamber integrity (By similarity). Positively regulates pancreatic islet development and maintenance of endothelial cell barrier integrity in the pancreas, therefore involved in the controlled release of insulin from islet cells into the circulation in response to glucose (By similarity). Plays a role in limiting inflammatory infiltration and the apoptotic response to injury in kidney tubular epithelial cells, potentially via its role in maintaining cell-cell adhesion and the epithelial barrier (PubMed:38395410). Acts as a positive modulator of CSK and EGFR activation via sequestering them away from lipid rafts, this is independent of its role in desmosome cell junctions (PubMed:26918609). Also disrupts the localization of CAV1 to lipid rafts resulting in its distribution throughout the cytoplasm (PubMed:26918609)","Arrhythmogenic right ventricular dysplasia, familial, 10 (ARVD10)|Cardiomyopathy, dilated, 1BB (CMD1BB)","Cell membrane; Cell junction, desmosome; Cytoplasm","Expressed in undifferentiated pluripotent stem cells, expression decreases during differentiation (at protein level) (PubMed:29910125). Expressed in hematopoietic stem cells and circulating endothelial progenitor cells, expression decreases upon increasing cell lineage commitment (at protein level) (PubMed:27338829). Expressed on common myeloid progenitors, pro-myelocytes, pro-erythrocytes and B-cell linage progenitors (at protein level). Expression in mature cell types in the bone marrow and mature leukocyte populations is absent (PubMed:27338829). Expressed by foreskin fibroblasts, expression peaks during the early stage of differentiation reprogramming (at protein level) (PubMed:29910125). Expressed by endothelial cells in both arterioles and venules in the cervix (at protein level) (PubMed:27338829). Expressed in pancreatic alpha-cells, beta-cells and exocrine tissue (at protein level) (PubMed:36309486). Expressed in cardiomyocytes (at protein level) (PubMed:31845994, PubMed:383759",,3D-structure|Calcium|Cardiomyopathy|Cell adhesion|Cell junction|Cell membrane|Cleavage on pair of basic residues|Cytoplasm|Disease variant|Glycoprotein|Lipoprotein|Membrane|Metal-binding|Palmitate|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Signal|Transmembrane|Transmembrane helix,Cadherin 1 [50-160]|Cadherin 2 [161-273]|Cadherin 3 [274-388]|Cadherin 4 [389-503],,,Q14126,2YQG|5ERD|5J5J|6QNT|6QNU|6SIT|7A7D|7AGF|7AGG|8QJX|8QJY|8QK3,,,hsa:1829,R-HSA-351906:Apoptotic cleavage of cell adhesion proteins|R-HSA-6805567:Keratinization|R-HSA-6809371:Formation of the cornified envelope|R-HSA-9013404:RAC2 GTPase cycle|R-HSA-9013408:RHOG GTPase cycle|R-HSA-9013423:RAC3 GTPase cycle,1118,122294,Homo sapiens
Q9NRW4,DUS22_HUMAN,reviewed,DUSP22,JSP1|LMWDSP2|MKPX,Dual specificity protein phosphatase 22,"Dual specificity phosphatase; can dephosphorylate both phosphotyrosine and phosphoserine or phosphothreonine residues (PubMed:24714587, PubMed:38225265). Activates the JNK signaling pathway (PubMed:11717427). Inhibits T-cell receptor signaling and T-cell mediated immune responses, acting, at least in part, by inducing degradation of E3 ubiquitin ligase UBR2 (PubMed:24714587, PubMed:38225265). Dephosphorylates and thereby induces 'Lys-48'-linked ubiquitination of UBR2, leading to proteasomal degradation of UBR2 (PubMed:38225265). Dephosphorylates and thereby inactivates tyrosine kinase LCK (PubMed:24714587). Inhibits UBR2-mediated 'Lys-63'-linked ubiquitination of LCK (PubMed:38225265). May play a role in B-cell receptor (BCR) signaling and B-cell function (By similarity)",,Cytoplasm,"Ubiquitous. Highest expression seen in heart, placenta, lung, liver, kidney and pancreas",,3D-structure|Alternative splicing|Cytoplasm|Hydrolase|Immunity|Lipoprotein|Myristate|Phosphoprotein|Protein phosphatase|Proteomics identification|Reference proteome,Tyrosine-protein phosphatase [4-144], [89-89]| [90-90]| [92-92]| [93-93]| [94-94],Phosphocysteine intermediate [88-88],Q9NRW4,1WRM|4WOH|6L1S|6LMY|6LOT|6LOU|6LVQ|7C8S,,CHEMBL3924,hsa:56940,,184,20910,Homo sapiens
Q99956,DUS9_HUMAN,reviewed,DUSP9,MKP4,Dual specificity protein phosphatase 9,Inactivates MAP kinases. Has a specificity for the ERK family,,Cytoplasm,,,3D-structure|Cytoplasm|Hydrolase|Phosphoprotein|Protein phosphatase|Proteomics identification|Reference proteome,Rhodanese [18-139]|Tyrosine-protein phosphatase [203-346],,Phosphocysteine intermediate [290-290],Q99956,2HXP|3LJ8,,,hsa:1852,R-HSA-112409:RAF-independent MAPK1/3 activation|R-HSA-5675221:Negative regulation of MAPK pathway|R-HSA-9652817:Signaling by MAPK mutants,384,41868,Homo sapiens
O75923,DYSF_HUMAN,reviewed,DYSF,FER1L1,Dysferlin,Key calcium ion sensor involved in the Ca(2+)-triggered synaptic vesicle-plasma membrane fusion. Plays a role in the sarcolemma repair mechanism of both skeletal muscle and cardiomyocytes that permits rapid resealing of membranes disrupted by mechanical stress (By similarity),"Muscular dystrophy, limb-girdle, autosomal recessive 2 (LGMDR2)|Miyoshi muscular dystrophy 1 (MMD1)|Distal myopathy with anterior tibial onset (DMAT)","Cell membrane, sarcolemma; Cytoplasmic vesicle membrane; Cell membrane; Late endosome membrane","Expressed in skeletal muscle, myoblast, myotube and in the syncytiotrophoblast (STB) of the placenta (at protein level). Ubiquitous. Highly expressed in skeletal muscle. Also found in heart, brain, spleen, intestine, placenta and at lower levels in liver, lung, kidney and pancreas",,3D-structure|Alternative promoter usage|Alternative splicing|Calcium|Cell membrane|Cytoplasmic vesicle|Disease variant|Endosome|Limb-girdle muscular dystrophy|Lipid-binding|Membrane|Metal-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Signal-anchor|Transmembrane|Transmembrane helix,C2 1 [1-101]|C2 2 [203-321]|C2 3 [360-496]|C2 4 [1136-1262]|C2 5 [1310-1438]|C2 6 [1561-1679]|C2 7 [1795-1943], [18-18]| [19-19]| [21-21]| [40-40]| [1168-1168]| [1174-1174]| [1230-1230]| [1232-1232]| [1594-1594]| [1600-1600]| [1649-1649]| [1651-1651]| [1914-1914]| [1917-1917]| [1920-1920],,O75923,4CAH|4CAI|4IHB|4IQH|7JOF|7K6B|7KRB|9B8K|9B8L|9QLS,,,hsa:8291,R-HSA-445355:Smooth Muscle Contraction,2080,237295,Homo sapiens
Q01094,E2F1_HUMAN,reviewed,E2F1,RBBP3,Transcription factor E2F1,"Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC-3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication (PubMed:10675335, PubMed:12717439, PubMed:17050006, PubMed:17704056, PubMed:18625225, PubMed:28992046). The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase (PubMed:10675335, PubMed:12717439, PubMed:17704056). E2F1 binds preferentially RB1 in a cell-cycle dependent manner (PubMed:10675335, PubMed:12717439, PubMed:17704056). It can mediate both cell proliferation and TP53/p53-dependent apoptosis (PubMed:8170954). Blocks adipocyte differentiation by binding to specific promoters repressing CEBPA binding to its target gene promoters (PubMed:20176812). Directly activates transcription of PEG10 (PubMed:17050006, PubMed:18625225, PubMed:28992046). Positively regulates transcription of RRP1B (PubMed:20040599)",,Nucleus,,,3D-structure|Acetylation|Activator|Apoptosis|Cell cycle|DNA-binding|Host-virus interaction|Methylation|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Transcription|Transcription regulation|Ubl conjugation,,,,Q01094,1H24|1O9K|2AZE|5M9N|5M9O|6G0P|6ULS|9CB3,,CHEMBL4382,hsa:1869,"R-HSA-111448:Activation of NOXA and translocation to mitochondria|R-HSA-113501:Inhibition of replication initiation of damaged DNA by RB1/E2F1|R-HSA-1362277:Transcription of E2F targets under negative control by DREAM complex|R-HSA-1362300:Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1|R-HSA-139915:Activation of PUMA and translocation to mitochondria|R-HSA-1912408:Pre-NOTCH Transcription and Translation|R-HSA-2559580:Oxidative Stress Induced Senescence|R-HSA-2559585:Oncogene Induced Senescence|R-HSA-6804116:TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest|R-HSA-68911:G2 Phase|R-HSA-69202:Cyclin E associated events during G1/S transition|R-HSA-69205:G1/S-Specific Transcription|R-HSA-69231:Cyclin D associated events in G1|R-HSA-69656:Cyclin A:Cdk2-associated events at S phase entry|R-HSA-8953750:Transcriptional Regulation by E2F6|R-HSA-9616222:Transcriptional regulation of granulopoiesis|R-HSA-9661069:Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",437,46920,Homo sapiens
Q96CJ1,EAF2_HUMAN,reviewed,EAF2,TRAITS,ELL-associated factor 2,Acts as a transcriptional transactivator of TCEA1 elongation activity (By similarity). Acts as a transcriptional transactivator of ELL and ELL2 elongation activities. Potent inducer of apoptosis in prostatic and non-prostatic cell lines. Inhibits prostate tumor growth in vivo,,Nucleus speckle,"Expressed in heart, brain, placenta, lung, skeletal muscle, kidney, pancreas, spleen, prostate, testis, small intestine, colon, adrenal, bone marrow, lymph node, spinal gland, stomach, thyroid, trachea, thymus, liver and leukocytes",,Activator|Alternative splicing|Apoptosis|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Transcription|Transcription regulation,,,,Q96CJ1,,,,hsa:55840,R-HSA-112382:Formation of RNA Pol II elongation complex|R-HSA-674695:RNA Polymerase II Pre-transcription Events|R-HSA-75955:RNA Polymerase II Transcription Elongation,260,28792,Homo sapiens
Q16610,ECM1_HUMAN,reviewed,ECM1,,Extracellular matrix protein 1,Involved in endochondral bone formation as negative regulator of bone mineralization. Stimulates the proliferation of endothelial cells and promotes angiogenesis. Inhibits MMP9 proteolytic activity,Lipoid proteinosis (LiP),"Secreted, extracellular space, extracellular matrix",Expressed in breast cancer tissues. Little or no expression observed in normal breast tissues. Expressed in skin; wide expression is observed throughout the dermis with minimal expression in the epidermis,,Alternative splicing|Angiogenesis|Biomineralization|Disease variant|Extracellular matrix|Glycoprotein|Mineral balance|Osteogenesis|Proteomics identification|Reference proteome|Repeat|Secreted|Signal,,,,Q16610,,,,hsa:1893,R-HSA-114608:Platelet degranulation,540,60674,Homo sapiens
P24530,EDNRB_HUMAN,reviewed,EDNRB,ETRB,Endothelin receptor type B,"Non-specific receptor for endothelin 1, 2, and 3. Mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system",Waardenburg syndrome 4A (WS4A)|Hirschsprung disease 2 (HSCR2)|ABCD syndrome (ABCDS),Cell membrane,"Expressed in placental stem villi vessels, but not in cultured placental villi smooth muscle cells",,3D-structure|Albinism|Alternative splicing|Cell membrane|Deafness|Disease variant|Disulfide bond|G-protein coupled receptor|Glycoprotein|Hirschsprung disease|Lipoprotein|Membrane|Palmitate|Phosphoprotein|Proteomics identification|Receptor|Reference proteome|Signal|Transducer|Transmembrane|Transmembrane helix|Waardenburg syndrome,,,,P24530,5GLH|5GLI|5X93|5XPR|6IGK|6IGL|6LRY|8HBD|8HCX|8IY5|8IY6|8XGR|8XVE|8XVH|8XWP|8XWQ|8ZRT,DB06403|DB15059|DB00559|DB17984|DB06460|DB06138|DB08932|DB06268|DB06558,CHEMBL1785,hsa:1910,R-HSA-375276:Peptide ligand-binding receptors|R-HSA-416476:G alpha (q) signalling events|R-HSA-9856649:Transcriptional and post-translational regulation of MITF-M expression and activity,442,49644,Homo sapiens
O75530,EED_HUMAN,reviewed,EED,,Polycomb protein EED,"Polycomb group (PcG) protein. Component of the PRC2/EED-EZH2 complex, which methylates 'Lys-9' and 'Lys-27' of histone H3, leading to transcriptional repression of the affected target gene. Also recognizes 'Lys-26' trimethylated histone H1 with the effect of inhibiting PRC2 complex methyltransferase activity on nucleosomal histone H3 'Lys-27', whereas H3 'Lys-27' recognition has the opposite effect, enabling the propagation of this repressive mark. The PRC2/EED-EZH2 complex may also serve as a recruiting platform for DNA methyltransferases, thereby linking two epigenetic repression systems. Genes repressed by the PRC2/EED-EZH2 complex include HOXC8, HOXA9, MYT1 and CDKN2A",Cohen-Gibson syndrome (COGIS),Nucleus; Chromosome,"Expressed in brain, colon, heart, kidney, liver, lung, muscle, ovary, peripheral blood leukocytes, pancreas, placenta, prostate, spleen, small intestine, testis, thymus and uterus. Appears to be overexpressed in breast and colon cancer",,3D-structure|Acetylation|Alternative initiation|Alternative splicing|Chromatin regulator|Chromosome|Disease variant|Host-virus interaction|Methylation|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Repressor|Transcription|Transcription regulation|WD repeat,,,,O75530,3IIW|3IIY|3IJ0|3IJ1|3IJC|3JPX|3JZG|3JZH|3JZN|3K26|3K27|4W2R|4X3E|5GSA|5H13|5H14|5H15|5H17|5H19|5H24|5H25|5HYN|5IJ7|5IJ8|5K0M|5LS6|5TTW|5U5H|5U5K|5U5T,DB19205,CHEMBL2189117,hsa:8726,R-HSA-212300:PRC2 methylates histones and DNA|R-HSA-2559580:Oxidative Stress Induced Senescence|R-HSA-3214841:PKMTs methylate histone lysines|R-HSA-5617472:Activation of anterior HOX genes in hindbrain development during early embryogenesis|R-HSA-8943724:Regulation of PTEN gene transcription|R-HSA-8953750:Transcriptional Regulation by E2F6|R-HSA-9609690:HCMV Early Events|R-HSA-9710421:Defective pyroptosis|R-HSA-9764725:Negative Regulation of CDH1 Gene Transcription,441,50198,Homo sapiens
P68104,EF1A1_HUMAN,reviewed,EEF1A1,EEF1A|EF1A|LENG7,Elongation factor 1-alpha 1,(Microbial infection) Required for the translation of viral proteins and viral replication during human coronavirus SARS-CoV-2 infection,,"Cytoplasm; Nucleus; Nucleus, nucleolus; Cell membrane",,,3D-structure|Acetylation|Cell membrane|Cytoplasm|Direct protein sequencing|Elongation factor|GTP-binding|Host-virus interaction|Hydrolase|Isopeptide bond|Membrane|Methylation|Nucleotide-binding|Nucleus|Phosphoprotein|Protein biosynthesis|Proteomics identification|Reference proteome|Transcription|Transcription regulation|Ubl conjugation,tr-type G [5-242], [14-21]| [153-156]| [194-196],,P68104,3C5J|6ZMO|8G60|8G6J|9AZC|9AZS|9B0N|9B0O,DB11638|DB09130|DB04315|DB01593|DB14487|DB14533|DB14548,CHEMBL1795120,hsa:1915,R-HSA-156842:Eukaryotic Translation Elongation|R-HSA-156902:Peptide chain elongation|R-HSA-3371511:HSF1 activation|R-HSA-6798695:Neutrophil degranulation|R-HSA-8876725:Protein methylation|R-HSA-9613829:Chaperone Mediated Autophagy|R-HSA-9735869:SARS-CoV-1 modulates host translation machinery,462,50141,Homo sapiens
O75071,EFC14_HUMAN,reviewed,EFCAB14,KIAA0494,EF-hand calcium-binding domain-containing protein 14,,,,,,Calcium|Metal-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat,EF-hand 1 [434-463]|EF-hand 2 [464-495], [477-477]| [479-479]| [481-481]| [483-483]| [488-488],,O75071,,,,hsa:9813,,495,55031,Homo sapiens
Q12805,FBLN3_HUMAN,reviewed,EFEMP1,FBLN3|FBNL,EGF-containing fibulin-like extracellular matrix protein 1,"Binds EGFR, the EGF receptor, inducing EGFR autophosphorylation and the activation of downstream signaling pathways. May play a role in cell adhesion and migration. May function as a negative regulator of chondrocyte differentiation. In the olfactory epithelium, it may regulate glial cell migration, differentiation and the ability of glial cells to support neuronal neurite outgrowth","Doyne honeycomb retinal dystrophy (DHRD)|Cutis laxa, autosomal recessive, 1D (ARCL1D)|Glaucoma 1, open angle, H (GLC1H)","Secreted, extracellular space, extracellular matrix","In the eye, associated with photoreceptor outer and inner segment regions, the nerve fiber layer, outer nuclear layer and inner and outer plexiform layers of the retina",,Alternative splicing|Calcium|Disease variant|Disulfide bond|EGF-like domain|Extracellular matrix|Glaucoma|Glycoprotein|Growth factor|Proteomics identification|Reference proteome|Repeat|Secreted|Signal,EGF-like 1; atypical [26-71]|EGF-like 2; calcium-binding [173-213]|EGF-like 3; calcium-binding [214-253]|EGF-like 4; calcium-binding [254-293]|EGF-like 5; calcium-binding [294-333]|EGF-like 6; calcium-binding [334-378],,,Q12805,,,,hsa:2202,R-HSA-2129379:Molecules associated with elastic fibres,493,54641,Homo sapiens
P52803,EFNA5_HUMAN,reviewed,EFNA5,EPLG7|LERK7,Ephrin-A5,"Cell surface GPI-bound ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Induces compartmentalized signaling within a caveolae-like membrane microdomain when bound to the extracellular domain of its cognate receptor. This signaling event requires the activity of the Fyn tyrosine kinase. Activates the EPHA3 receptor to regulate cell-cell adhesion and cytoskeletal organization. With the receptor EPHA2 may regulate lens fiber cells shape and interactions and be important for lens transparency maintenance. May function actively to stimulate axon fasciculation. The interaction of EFNA5 with EPHA5 also mediates communication between pancreatic islet cells to regulate glucose-stimulated insulin secretion. Cognate/functional ligand for EPHA7, their interaction regulates brain development modulating cell-cell adhesion and repulsion",,"Cell membrane; Membrane, caveola",,,3D-structure|Cell membrane|Developmental protein|Differentiation|Disulfide bond|Glycoprotein|GPI-anchor|Lipoprotein|Membrane|Neurogenesis|Proteomics identification|Reference proteome|Signal,Ephrin RBD [29-162],,,P52803,2X11|3MX0|4BK5|4BKA|4L0P|4M4R,,,hsa:1946,R-HSA-2682334:EPH-Ephrin signaling|R-HSA-3928663:EPHA-mediated growth cone collapse|R-HSA-3928665:EPH-ephrin mediated repulsion of cells,228,26297,Homo sapiens
Q14156,EFR3A_HUMAN,reviewed,EFR3A,KIAA0143,Protein EFR3 homolog A,"Component of a complex required to localize phosphatidylinositol 4-kinase (PI4K) to the plasma membrane (PubMed:23229899, PubMed:25608530, PubMed:26571211). The complex acts as a regulator of phosphatidylinositol 4-phosphate (PtdIns(4)P) synthesis (Probable). In the complex, EFR3A probably acts as the membrane-anchoring component (PubMed:23229899). Also involved in responsiveness to G-protein-coupled receptors; it is however unclear whether this role is direct or indirect (PubMed:25380825)",,"Cell membrane; Cytoplasm, cytosol",,,3D-structure|Alternative splicing|Autism|Autism spectrum disorder|Cell membrane|Cytoplasm|Lipoprotein|Membrane|Palmitate|Phosphoprotein|Proteomics identification|Reference proteome,,,,Q14156,9BAX,,,hsa:23167,,821,92924,Homo sapiens
Q8IUX8,EGFL6_HUMAN,reviewed,EGFL6,MAEG,Epidermal growth factor-like protein 6,May bind integrin alpha-8/beta-1 and play a role in hair follicle morphogenesis. Promotes matrix assembly (By similarity),,"Secreted, extracellular space, extracellular matrix, basement membrane",,,Alternative splicing|Basement membrane|Calcium|Cell adhesion|Coiled coil|Developmental protein|Differentiation|Disulfide bond|EGF-like domain|Extracellular matrix|Glycoprotein|Proteomics identification|Reference proteome|Repeat|Secreted|Signal,EGF-like 1 [65-91]|EGF-like 2; calcium-binding [94-133]|EGF-like 3 [137-173]|EGF-like 4; calcium-binding [174-212]|EGF-like 5; calcium-binding [219-259]|MAM [400-546],,,Q8IUX8,,,,hsa:25975,,553,61317,Homo sapiens
